Name                                          ,State       ,Host                         ,Guest OS                                        ,IP Address                                                                                                                                                                                                                                                                                                                                                              ,DNS Name
d0vjamfxxapp001,Powered On,p2pucsgenhyp044.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.112,d0vjamfxxapp001.ncsecu.dev
d0vmidtirapp001,Powered On,p2pucsgenhyp019.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.77,d0vmidtirapp001.ncsecu.dev
d0vmidtirapp002,Powered On,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.78,d0vmidtirapp002.ncsecu.dev
d0vpamdwcapp001,Powered On,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.132,d0vpamdwcapp001.ncsecu.dev
d0vpamdwcapp002,Powered On,p2pucsgenhyp029.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.133,d0vpamdwcapp002.ncsecu.dev
d0vrhrepooth001,Powered On,p2pucsgenhyp031.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.72, fe80::250:56ff:feb5:3bee",d0vrhrepooth001
d0vsremriapp001,Powered On,p2pucsgenhyp037.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.129.68,d0vsremriapp001.ncsecu.dev
d0vsremriweb001,Powered On,p2pucsgenhyp024.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.128.28,d0vsremriweb001.ncsecu.dev
d0vzentagdbs119,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.130.31, fe80::8229:24ef:933e:54cf",d0vzentagdbs119.ncsecu.dev
d1velastiapp001,Powered Off,p2pucsgenhyp039.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,d1velastiapp001.ncsecu.dev
d1velastiapp002,Powered Off,p2pucsgenhyp036.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,d1velastiapp002.ncsecu.dev
d1velastiapp003,Powered Off,p2pucsgenhyp024.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,d1velastiapp003.ncsecu.dev
d1vilcposapi701,Powered On,p2pucsgenhyp032.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.179,d1vilcposapi701.ncsecu.dev
d1vilcposapi702,Powered On,p2pucsgenhyp043.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.180,d1vilcposapi702.ncsecu.dev
d1vilcposdbs301,Powered On,p2pucsgenhyp022.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.123,d1vilcposdbs301.ncsecu.dev
d1vilcposdbs302,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.138.124, 172.27.138.122, 172.27.138.126, 172.27.138.127",d1vilcposdbs302.ncsecu.dev
d1vilcposrtp305,Powered On,p2pucsgenhyp051.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.125,d1vilcposrtp305.ncsecu.dev
d1vilcposweb401,Powered On,p2pucsgenhyp031.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.90,d1vilcposweb401.ncsecu.dev
d1vilcposweb402,Powered On,p2pucsgenhyp032.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.91,d1vilcposweb402.ncsecu.dev
d1vilcposweb451,Powered On,p2pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.224.55,d1vilcposweb451
d1vilcposweb452,Powered On,p2pucsgenhyp025.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.224.56,d1vilcposweb452
d1vilcposweb453,Powered On,p2pucsgenhyp027.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.184,d1vilcposweb453.ncsecu.dev
d1vkafkalapp001,Powered Off,p2pucsgenhyp046.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,d1vkafkalapp001.ncsecu.local
d1vkafkalapp002,Powered Off,p2pucsgenhyp050.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,d1vkafkalapp002.ncsecu.local
d1vmidtirdbs001,Powered On,p2pucsgenhyp034.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.53,d1vmidtirdbs001.ncsecu.dev
d1vsamoraapp001,Powered On,p2pucsgenhyp041.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.129.11, fe80::250:56ff:feb9:5a1a",d1vsamorapp001
d1vsamoth001,Powered Off,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),,d1vsamoth001.ncsecu.dev
d1vtacacsapl001,Powered On,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.93, 169.254.0.228, fe80::250:56ff:feb9:2795, fe80::b4bc:9fff:fe74:5345, fe80::42:8eff:fe8d:7094",d1vtacacsapl001
d1vtacacsapl004,Powered On,p2pucsgenhyp032.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.94,d1vtacacsapl004
d1vvenafiapp001,Powered On,p2pucsgenhyp027.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.129,d1vvenafiapp001.ncsecu.dev
d2vadcsxxoth001,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.129.106, fe80::e957:997f:c02e:995b",d2vadcsxxoth001.ncsecu.dev
d2vadcsxxoth002,Powered On,p2pucsgenhyp019.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.129.107, fe80::56a5:ac3f:71e0:a7e0",d2vadcsxxoth002.ncsecu.dev
d2vadcsxxweb001,Powered On,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.128.52,d2vadcsxxweb001.ncsecu.dev
d2vadcsxxweb002,Powered On,p2pucsgenhyp043.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.128.53, fe80::4f22:8800:fcc:5d83",d2vadcsxxweb002.ncsecu.dev
d2vadfsxxweb001,Powered Off,p2pucsgenhyp052.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),,d2vadfsxxweb001
d2vadfsxxweb002,Powered Off,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),,d2vadfsxxweb002
d2vappvolapp001,Powered On,p2pucsgenhyp033.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.33,d2vappvolapp001.ncsecu.dev
d2vappvolapp002,Powered On,p2pucsgenhyp038.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.34,d2vappvolapp002.ncsecu.dev
d2vbboipsapp001,Powered On,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.137.167, fe80::250:56ff:feb5:c7d8",d2vbboipsapp001
d2vbboipsapp002,Powered On,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.137.168, fe80::250:56ff:feb5:aa73",d2vbboipsapp002
d2vbboipsapp003,Powered On,p2pucsgenhyp031.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.137.169, fe80::250:56ff:feb5:a8f2",d2vbboipsapp003
d2vcongaaweb001,Powered On,p2pucsgenhyp027.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.128.11,d2vcongaaweb001.ncsecu.dev
d2vconjirapp001,Powered On,p2pucsgenhyp027.ncsecu.local,Red Hat Enterprise Linux 6 (64-bit),"172.27.137.176, fe80::250:56ff:feb9:a99f",d2vconjirapp001
d2vconsvrapp001,Powered On,p2pucsgenhyp027.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.30,d2vconsvrapp001.ncsecu.dev
d2vconsvrapp002,Powered On,p2pucsgenhyp042.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.31,d2vconsvrapp002.ncsecu.dev
d2vconsvrapp003,Powered On,p2pucsgenhyp024.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.32,d2vconsvrapp003.ncsecu.dev
d2vcvltxxuti001,Powered Off,p2pucsgenhyp026.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),,d2vcvltxxuti001.ncsecu.dev
d2vcvltxxvsa001,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.158.20,d2vcvltxxvsa001.ncsecu.dev
d2vcvltxxvsa002,Powered On,p2pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.158.21,d2vcvltxxvsa002.ncsecu.dev
d2vcvltxxvsa003,Powered On,p2pucsgenhyp033.ncsecu.local,Oracle Linux 7 (64-bit),,d2vcvltxxvsa003
d2vdbpxxxapp001,Powered On,p2pucsgenhyp050.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.129.42,d2vdbpxxxapp001.ncsecu.dev
d2vdentagdbs119,Powered On,p2pucsgenhyp041.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.138.90, 172.27.138.91, 172.27.138.92",d2vdentagdbs119.ncsecu.dev
d2vdentagrpt119,Powered On,p2pucsgenhyp051.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.82,d2vdentagrpt119.ncsecu.dev
d2vdgndlpapl001,Powered On,p2pucsgenhyp041.ncsecu.local,Red Hat Enterprise Linux 6 (64-bit),"172.27.146.31, 172.27.155.24, 172.27.155.108, 172.27.155.21, fe80::250:56ff:feb5:1552, fe80::250:56ff:feb5:2c35, fe80::250:56ff:feb5:fba7, fe80::250:56ff:feb5:16f3, fe80::250:56ff:feb5:4f30, fe80::250:56ff:feb5:71aa",D2VDGNDLPAPL001
d2vdsviewmgt001,Powered On,p2pucsgenhyp044.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.146.16,d2vdsviewmgt001.ncsecu.dev
d2vessoxxapp001,Powered On,p2pucsgenhyp022.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.104,d2vessoxxapp001.ncsecu.dev
d2vessoxxapp002,Powered On,p2pucsgenhyp037.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.105,d2vessoxxapp002.ncsecu.dev
d2vessoxxapp003,Powered On,p2pucsgenhyp046.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.136, fe80::250:56ff:feb5:80fa",d2vessoxxapp003
d2vessoxxapp004,Powered On,p2pucsgenhyp039.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.155.137, fe80::250:56ff:feb5:bf9",d2vessoxxapp004
d2vinsuraapp001,Powered On,p2pucsgenhyp042.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),"172.27.137.50, 169.254.146.101, fe80::e4f3:2a50:b52:9265",D2VINSURAAPP001.ncsecu.dev
d2vinsuraapp002,Powered On,p2pucsgenhyp049.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.51,d2vinsuraapp002.ncsecu.dev
d2vinsuradbs001,Powered On,p2pucsgenhyp027.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.33,D2VINSURADBS001.ncsecu.dev
d2vinsuraoth001,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.52,D2VINSURAOTH001.ncsecu.dev
d2vinsuraweb001,Powered On,p2pucsgenhyp039.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.30,D2VINSURAWEB001.ncsecu.dev
d2vinsuraweb002,Powered On,p2pucsgenhyp030.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.31,d2vinsuraweb002.ncsecu.dev
d2vintranweb001,Powered On,p2pucsgenhyp023.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.97,d2vintranweb001.ncsecu.dev
d2vintranweb002,Powered On,p2pucsgenhyp033.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.136.98,d2vintranweb002.ncsecu.dev
d2vivrxxxapp001,Powered On,p2pucsgenhyp024.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.172,d2vivrxxxapp001.ncsecu.dev
d2vivrxxxapp002,Powered On,p2pucsgenhyp050.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.173,d2vivrxxxapp002.ncsecu.dev
d2vivrxxxdbs002,Powered On,p2pucsgenhyp023.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.119,d2vivrxxxdbs002.ncsecu.dev
d2vmidtirapp003,Powered On,p2pucsgenhyp031.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.119,d0vmidtirapp003.ncsecu.dev
d2vmidtirapp004,Powered On,p2pucsgenhyp023.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.120,d0vmidtirapp004.ncsecu.dev
d2vmidtirdbs002,Powered On,p2pucsgenhyp037.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.138.130,d1vmidtirdbs002.ncsecu.dev
d2vnetoppapp001,Powered On,p2pucsgenhyp036.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.69,d2vnetoppapp001.ncsecu.dev
d2vnsightapl002,Powered On,p2pucsgenhyp036.ncsecu.local,CentOS 4/5/6/7 (64-bit),"172.27.145.16, fdfe:9042:c53d:0:28ca:34b8:8bc7:6daa, fe80::3494:a436:c39b:ba45",d2vnsightapl002.ncsecu.dev
d2vOneSpnApp001,Powered On,p2pucsgenhyp021.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.27.129.80, fe80::d40a:ea33:394c:584c",d2vonespnapp001.ncsecu.dev
d2vOneSpnApp051,Powered On,p2pucsgenhyp030.ncsecu.local,Microsoft Windows Server 2012 (64-bit),"172.27.129.81, fe80::8ff9:43f1:ab0a:4e8e",d2vonespnapp051.ncsecu.dev
d2vOneSpnDbs001,Powered On,p2pucsgenhyp044.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.130.28,d2vOneSpnDbs001.ncsecu.dev
d2vOneSpnMgt001,Powered On,p2pucsgenhyp021.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.129.82, fe80::1766:eacf:c7f9:3aaa",d2vOneSpnMgt001
d2vOneSpnWeb001,Powered On,p2pucsgenhyp041.ncsecu.local,Red Hat Enterprise Linux 7 (64-bit),"172.27.128.31, fe80::1222:f0c2:c715:e7f7",d2vonespnweb001.ncsecu.dev
d2vonviewapl001,Powered On,p2pucsgenhyp021.ncsecu.local,Red Hat Enterprise Linux 6 (64-bit),"172.27.146.11, fe80::9aca:4b32:9c3e:52d8, fe80::250:56ff:feb5:ddef",ci-005056b5ddef
d2vpamdcpapp001,Powered On,p2pucsgenhyp033.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.155.79,d2vpamdcpapp001.ncsecu.dev
d2vqatracapp001,Powered On,p2pucsgenhyp024.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.137.125,d2vqatracapp001.ncsecu.dev
d2vstmgmtapp001,Powered Off,p2pucsgenhyp030.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,
d2vstxdcemgt001,Powered On,p2pucsgenhyp050.ncsecu.local,Other Linux (64-bit),,D2STXDCEMGT001.NCSECU.DEV
d2vstxdcomgt001,Powered On,p2pucsgenhyp039.ncsecu.local,Red Hat Enterprise Linux 8 (64-bit),,
d2vtnblnsapl001,Powered On,p2pucsgenhyp024.ncsecu.local,CentOS 4/5 (64-bit),"172.27.244.35, fe80::250:56ff:feb5:ae70",d2vtnblnsapl001
d2vtnblnsapl002,Powered On,p2pucsgenhyp030.ncsecu.local,CentOS 4/5 (64-bit),"172.27.155.126, fe80::250:56ff:feb5:b4a2",d2vtnblnsapl002
d2vtnblnsapl003,Powered On,p2pucsgenhyp021.ncsecu.local,CentOS 4/5 (64-bit),"172.27.137.164, fe80::250:56ff:feb5:d1aa",d2vtnblnsapl003
d2vtnblnsapl004,Powered On,p2pucsgenhyp027.ncsecu.local,CentOS 4/5 (64-bit),"172.27.129.144, fe80::250:56ff:feb5:64c6",d2vtnblnsapl004
d2vtnblnsapl005,Powered On,p2pucsgenhyp039.ncsecu.local,CentOS 4/5 (64-bit),"172.27.161.19, fe80::250:56ff:feb5:8bf0",d2vtnblnsapl005
d2vtnblnsapl006,Powered On,p2pucsgenhyp046.ncsecu.local,CentOS 4/5 (64-bit),"172.27.146.27, fe80::250:56ff:feb5:744e",d2vtnblnsapl006
d2vvdiutlapp001,Powered On,p2pucsgenhyp046.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.144.35,d2vvdiutlapp001.ncsecu.dev
d2vvoydevoth010,Powered Off,p2pucsgenhyp076.ncsecu.local,Microsoft Windows Server 2012 (64-bit),,
d2vvsobkoapp001,Powered On,p2pucsgenhyp047.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.129.16,d2vvsobkoapp001
d2vvsobkoapp051,Powered On,p2pucsgenhyp028.ncsecu.local,Microsoft Windows Server 2016 or later (64-bit),172.27.129.17,d2vvsobkoapp051
